  ,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment
0,11.0,0.125802,0.622955,0.326177,1.611696,0.148847,AUT,0.0,0.002045,0.070207,0.000986,neutron,pi-,solid
1,11.0,0.148232,0.547478,0.325454,1.673420,0.136256,AUT,0.0,0.001925,0.070207,0.000999,neutron,pi-,solid
2,11.0,0.165785,0.498129,0.325051,1.703341,0.127326,AUT,0.0,0.002042,0.070207,0.001012,neutron,pi-,solid
3,11.0,0.184811,0.455435,0.324780,1.735851,0.118300,AUT,0.0,0.002325,0.070207,0.001026,neutron,pi-,solid
4,11.0,0.210979,0.407410,0.324451,1.771143,0.112273,AUT,0.0,0.002417,0.070207,0.001046,neutron,pi-,solid
5,11.0,0.255099,0.347460,0.323923,1.822354,0.120721,AUT,0.0,0.002481,0.070207,0.001078,neutron,pi-,solid
6,11.0,0.065550,0.791966,0.321549,1.069515,0.345243,AUT,0.0,0.002030,0.070207,0.000970,neutron,pi-,solid
7,11.0,0.074790,0.713495,0.322957,1.100456,0.342826,AUT,0.0,0.001833,0.070207,0.000968,neutron,pi-,solid
8,11.0,0.082969,0.647037,0.323604,1.107336,0.340796,AUT,0.0,0.001925,0.070207,0.000967,neutron,pi-,solid
9,11.0,0.094905,0.592269,0.325135,1.158278,0.341596,AUT,0.0,0.002226,0.070207,0.000968,neutron,pi-,solid
10,11.0,0.137762,0.615161,0.330118,1.739958,0.243819,AUT,0.0,0.001914,0.070207,0.000994,neutron,pi-,solid
11,11.0,0.208448,0.441088,0.330208,1.852383,0.226918,AUT,0.0,0.006089,0.070207,0.001043,neutron,pi-,solid
12,11.0,0.063402,0.809200,0.326603,1.056964,0.463923,AUT,0.0,0.001922,0.070207,0.000969,neutron,pi-,solid
13,11.0,0.073581,0.721328,0.328226,1.094077,0.451775,AUT,0.0,0.001949,0.070207,0.000967,neutron,pi-,solid
14,11.0,0.086671,0.628968,0.329953,1.121913,0.444420,AUT,0.0,0.002786,0.070207,0.000966,neutron,pi-,solid
15,11.0,0.107324,0.538590,0.334455,1.190666,0.431551,AUT,0.0,0.013247,0.070207,0.000968,neutron,pi-,solid
16,11.0,0.122772,0.588311,0.374850,1.484773,0.151421,AUT,0.0,0.001933,0.070207,0.000971,neutron,pi-,solid
17,11.0,0.146973,0.525996,0.373884,1.594248,0.137612,AUT,0.0,0.001901,0.070207,0.000985,neutron,pi-,solid
18,11.0,0.167068,0.483186,0.373759,1.664779,0.126883,AUT,0.0,0.002010,0.070207,0.000998,neutron,pi-,solid
19,11.0,0.191460,0.438125,0.373813,1.728985,0.117880,AUT,0.0,0.002187,0.070207,0.001016,neutron,pi-,solid
20,11.0,0.234725,0.372011,0.373806,1.792014,0.119747,AUT,0.0,0.002062,0.070207,0.001045,neutron,pi-,solid
21,11.0,0.290477,0.317804,0.373518,1.905173,0.141331,AUT,0.0,0.015572,0.070207,0.001081,neutron,pi-,solid
22,11.0,0.072026,0.737036,0.371751,1.090975,0.353087,AUT,0.0,0.001883,0.070207,0.000960,neutron,pi-,solid
23,11.0,0.087533,0.627686,0.372625,1.132237,0.352049,AUT,0.0,0.001875,0.070207,0.000958,neutron,pi-,solid
24,11.0,0.110512,0.627331,0.375818,1.434504,0.296620,AUT,0.0,0.001881,0.070207,0.000966,neutron,pi-,solid
25,11.0,0.138075,0.604234,0.376812,1.718398,0.251636,AUT,0.0,0.001876,0.070207,0.000982,neutron,pi-,solid
26,11.0,0.167346,0.514906,0.376582,1.771577,0.248062,AUT,0.0,0.002715,0.070207,0.001000,neutron,pi-,solid
27,11.0,0.228709,0.389070,0.376343,1.812361,0.247508,AUT,0.0,0.004851,0.070207,0.001040,neutron,pi-,solid
28,11.0,0.063804,0.809646,0.373571,1.064526,0.500012,AUT,0.0,0.001839,0.070207,0.000961,neutron,pi-,solid
29,11.0,0.072379,0.745761,0.374668,1.113590,0.487904,AUT,0.0,0.001882,0.070207,0.000960,neutron,pi-,solid
30,11.0,0.079583,0.693439,0.375517,1.138394,0.478185,AUT,0.0,0.001972,0.070207,0.000959,neutron,pi-,solid
31,11.0,0.088692,0.637457,0.376234,1.165943,0.470748,AUT,0.0,0.002264,0.070207,0.000958,neutron,pi-,solid
32,11.0,0.106487,0.560417,0.377861,1.224421,0.459825,AUT,0.0,0.004855,0.070207,0.000960,neutron,pi-,solid
33,11.0,0.069532,0.741368,0.386977,1.047796,0.624072,AUT,0.0,0.004134,0.070207,0.000957,neutron,pi-,solid
34,11.0,0.123517,0.562592,0.423764,1.428372,0.150632,AUT,0.0,0.001893,0.070207,0.000961,neutron,pi-,solid
35,11.0,0.154605,0.504386,0.423557,1.607039,0.132090,AUT,0.0,0.001894,0.070207,0.000978,neutron,pi-,solid
36,11.0,0.184745,0.448267,0.423783,1.705911,0.121489,AUT,0.0,0.002038,0.070207,0.000998,neutron,pi-,solid
37,11.0,0.234174,0.373944,0.423643,1.793625,0.123487,AUT,0.0,0.002161,0.070207,0.001029,neutron,pi-,solid
38,11.0,0.081098,0.671508,0.421960,1.114350,0.357082,AUT,0.0,0.001856,0.070207,0.000951,neutron,pi-,solid
39,11.0,0.111244,0.636395,0.425204,1.461658,0.287569,AUT,0.0,0.001821,0.070207,0.000958,neutron,pi-,solid
40,11.0,0.133408,0.599304,0.425538,1.648426,0.271838,AUT,0.0,0.001857,0.070207,0.000968,neutron,pi-,solid
41,11.0,0.153421,0.541329,0.425282,1.711964,0.271509,AUT,0.0,0.002073,0.070207,0.000979,neutron,pi-,solid
42,11.0,0.186136,0.460834,0.425323,1.761519,0.268864,AUT,0.0,0.004752,0.070207,0.000999,neutron,pi-,solid
43,11.0,0.248304,0.357428,0.425325,1.819891,0.269439,AUT,0.0,0.004353,0.070207,0.001037,neutron,pi-,solid
44,11.0,0.066430,0.791092,0.423020,1.082199,0.505642,AUT,0.0,0.001815,0.070207,0.000955,neutron,pi-,solid
45,11.0,0.076739,0.723591,0.423750,1.145445,0.498318,AUT,0.0,0.001831,0.070207,0.000953,neutron,pi-,solid
46,11.0,0.085264,0.667948,0.424390,1.174796,0.491386,AUT,0.0,0.001945,0.070207,0.000951,neutron,pi-,solid
47,11.0,0.096844,0.612002,0.424982,1.221599,0.484843,AUT,0.0,0.002385,0.070207,0.000951,neutron,pi-,solid
48,11.0,0.118515,0.527016,0.426005,1.282750,0.482121,AUT,0.0,0.007857,0.070207,0.000956,neutron,pi-,solid
49,11.0,0.073081,0.732966,0.428141,1.090578,0.649779,AUT,0.0,0.002029,0.070207,0.000952,neutron,pi-,solid
50,11.0,0.105096,0.548210,0.432972,1.185768,0.628143,AUT,0.0,0.009624,0.070207,0.000950,neutron,pi-,solid
51,11.0,0.129898,0.542298,0.473398,1.446362,0.145319,AUT,0.0,0.001842,0.070207,0.000955,neutron,pi-,solid
52,11.0,0.173126,0.467351,0.473631,1.664608,0.125809,AUT,0.0,0.001917,0.070207,0.000978,neutron,pi-,solid
53,11.0,0.227131,0.383802,0.473649,1.783622,0.124605,AUT,0.0,0.002261,0.070207,0.001010,neutron,pi-,solid
54,11.0,0.094443,0.653175,0.473550,1.267744,0.320949,AUT,0.0,0.001948,0.070207,0.000946,neutron,pi-,solid
55,11.0,0.123205,0.611712,0.474666,1.554031,0.288057,AUT,0.0,0.001828,0.070207,0.000953,neutron,pi-,solid
56,11.0,0.142541,0.559438,0.474429,1.644311,0.289392,AUT,0.0,0.001892,0.070207,0.000962,neutron,pi-,solid
57,11.0,0.167049,0.499151,0.474499,1.717052,0.285542,AUT,0.0,0.002621,0.070207,0.000976,neutron,pi-,solid
58,11.0,0.224333,0.391220,0.474524,1.785688,0.285441,AUT,0.0,0.003089,0.070207,0.001008,neutron,pi-,solid
59,11.0,0.070288,0.762707,0.473009,1.102674,0.508071,AUT,0.0,0.001786,0.070207,0.000948,neutron,pi-,solid
60,11.0,0.083533,0.679966,0.473581,1.171153,0.501994,AUT,0.0,0.001826,0.070207,0.000945,neutron,pi-,solid
61,11.0,0.096840,0.615895,0.474076,1.229124,0.497577,AUT,0.0,0.002090,0.070207,0.000944,neutron,pi-,solid
62,11.0,0.131248,0.542565,0.476466,1.451400,0.480134,AUT,0.0,0.004119,0.070207,0.000955,neutron,pi-,solid
63,11.0,0.069914,0.766972,0.475007,1.101219,0.681138,AUT,0.0,0.001925,0.070207,0.000948,neutron,pi-,solid
64,11.0,0.093927,0.623844,0.477184,1.195506,0.658730,AUT,0.0,0.002985,0.070207,0.000944,neutron,pi-,solid
65,11.0,0.140236,0.520772,0.523441,1.495135,0.139302,AUT,0.0,0.001812,0.070207,0.000949,neutron,pi-,solid
66,11.0,0.207463,0.412704,0.523663,1.743705,0.125903,AUT,0.0,0.001964,0.070207,0.000983,neutron,pi-,solid
67,11.0,0.102977,0.635505,0.523917,1.345699,0.306733,AUT,0.0,0.001947,0.070207,0.000939,neutron,pi-,solid
